TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
15596.0,1914.0,1964.0,1661.0,1817.0,1828.0,2226.0,2045.0,1355.0,786.0,15246.0,15596.0,999.0,4268.0,3786.0,1936.0,1702.0,7775.0,7373.0,402.0,6.075069617,3.050387565,0.228901475,11.81351942,7.410532231,26.17555686,0.0,15924.0,4021.0,12056.0,5795.0,3954.0,1149.0,1394.0,396.0,1004
16434.0,1930.0,2164.0,2118.0,1787.0,1879.0,2224.0,1969.0,1486.0,877.0,15845.0,16434.0,1636.0,4551.0,3393.0,1696.0,2776.0,6858.0,6589.0,269.0,7.115997113,1.139650112,0.479852679,4.902131345,9.188088227,19.8320931,0.0,16777.0,4447.0,12820.0,6313.0,4731.0,1388.0,1759.0,461.0,1321
3710.0,353.0,470.0,357.0,338.0,407.0,489.0,599.0,433.0,264.0,3545.0,3710.0,131.0,993.0,872.0,684.0,364.0,1772.0,1718.0,54.0,1.760172455,1.365530615,0.195574717,1.201387549,2.050042125,4.023251326,0.0,3646.0,1290.0,2976.0,1154.0,857.0,217.0,335.0,100.0,253
4081.0,513.0,475.0,425.0,408.0,433.0,540.0,582.0,376.0,329.0,3798.0,4081.0,243.0,1066.0,1125.0,579.0,447.0,1794.0,1737.0,57.0,2.453721136,1.218806779,0.209398521,1.884586693,3.151716208,4.848381151,0.0,4272.0,1309.0,3166.0,1629.0,1263.0,255.0,393.0,114.0,303
18381.0,1539.0,1638.0,3571.0,2151.0,1771.0,2066.0,3175.0,1639.0,831.0,15313.0,18381.0,935.0,3540.0,4263.0,4030.0,2740.0,9203.0,8984.0,219.0,11.19349143,4.967767007,0.687217476,7.442914695,12.58539801,23.80218494,0.0,17945.0,5327.0,15523.0,6140.0,4812.0,1046.0,1610.0,468.0,1146
13824.0,1682.0,1764.0,1649.0,1557.0,1648.0,1913.0,1828.0,1181.0,602.0,10062.0,13824.0,2091.0,3753.0,2326.0,1505.0,2661.0,6298.0,6041.0,257.0,7.175207365,1.513100489,0.285650747,6.462494612,5.283124698,17.9366043,0.0,13866.0,3371.0,10664.0,5616.0,3903.0,1184.0,1745.0,411.0,1050
76493.0,7274.0,9512.0,10334.0,8860.0,8139.0,11223.0,11083.0,6627.0,3441.0,73072.0,76493.0,3713.0,16625.0,15407.0,17288.0,7307.0,41020.0,39990.0,1030.0,57.18120428,29.38008622,1.578968166,49.00440485,32.76358944,126.2046698,27.0,76109.0,19389.0,62808.0,25593.0,19785.0,5094.0,6566.0,1781.0,4407
80695.0,7967.0,9508.0,12632.0,10014.0,9585.0,11671.0,10099.0,5819.0,3400.0,74249.0,80695.0,6658.0,20505.0,15203.0,12588.0,9779.0,36428.0,34831.0,1597.0,52.07418696,36.72157201,0.685458333,85.55841359,26.75765058,201.9541936,21.0,81224.0,17868.0,66204.0,29627.0,23238.0,5794.0,7219.0,1978.0,4930
98682.0,11583.0,11299.0,9789.0,12122.0,11119.0,12421.0,13138.0,10635.0,6576.0,81974.0,98682.0,6633.0,15230.0,21771.0,25502.0,10263.0,41079.0,39523.0,1556.0,44.82858521,40.31436474,1.06440567,48.04080947,38.24257513,142.3547547,68.0,94191.0,28522.0,77656.0,30214.0,23374.0,6334.0,9369.0,2692.0,6755
38247.0,5275.0,5247.0,5736.0,4855.0,4138.0,4551.0,4001.0,2792.0,1652.0,26298.0,38247.0,2811.0,8254.0,6770.0,6961.0,5600.0,18656.0,18082.0,574.0,10.97045152,12.49331702,1.212472537,12.79401021,21.92150347,45.22037575,12.0,38289.0,8264.0,28990.0,14207.0,10668.0,2498.0,3445.0,925.0,2424
8743.0,1075.0,1125.0,972.0,887.0,1028.0,1185.0,1130.0,856.0,485.0,8399.0,8743.0,835.0,2796.0,1501.0,1054.0,1060.0,4683.0,4536.0,147.0,4.876367431,0.949015025,0.174105012,5.438640995,3.904518961,15.50533571,0.0,8909.0,2477.0,6728.0,3312.0,2314.0,746.0,917.0,241.0,643
11250.0,1362.0,1466.0,1302.0,1380.0,1189.0,1422.0,1614.0,998.0,517.0,10408.0,11250.0,1203.0,2312.0,2332.0,1818.0,1604.0,5643.0,5370.0,273.0,5.718266005,4.438322526,0.175794706,4.943979209,5.378527921,14.39738892,0.0,11430.0,2857.0,8700.0,3241.0,2297.0,619.0,1013.0,312.0,664
45592.0,6515.0,6496.0,5899.0,5832.0,5653.0,5591.0,4852.0,3168.0,1586.0,33144.0,45592.0,7704.0,11593.0,6476.0,3666.0,10700.0,21551.0,20740.0,811.0,20.86848251,14.41940629,0.628438206,21.57493373,14.78346705,55.42391574,10.0,45890.0,8918.0,33675.0,16696.0,12594.0,3740.0,5318.0,1342.0,3151
105779.0,10159.0,13258.0,12580.0,11508.0,13362.0,17871.0,13869.0,8130.0,5042.0,94680.0,105779.0,6661.0,23753.0,20971.0,24010.0,7006.0,55348.0,53230.0,2118.0,65.50838332,22.1092278,0.973660945,83.9485717,32.15455901,186.0404839,20.0,107088.0,24579.0,84964.0,31517.0,27188.0,5840.0,8620.0,2408.0,5782
151366.0,23256.0,21654.0,26099.0,23433.0,18660.0,16232.0,11602.0,6634.0,3796.0,122615.0,151366.0,24270.0,23540.0,32073.0,12438.0,25481.0,57865.0,53384.0,4481.0,58.98204793,30.2945941,1.373722279,85.57256635,58.15551864,224.8886687,22.0,150183.0,20569.0,110402.0,46947.0,37647.0,6984.0,12751.0,3412.0,6652
33033.0,5263.0,5306.0,4461.0,3707.0,4015.0,3879.0,3284.0,2048.0,1070.0,28014.0,33033.0,4818.0,6500.0,5406.0,3160.0,6035.0,12947.0,12295.0,652.0,11.39392607,6.724718184,0.601921549,12.49879163,11.0624664,39.01326322,8.0,32664.0,6098.0,23455.0,11794.0,9124.0,2017.0,3405.0,832.0,1993
8257.0,1101.0,1257.0,980.0,983.0,835.0,1147.0,1028.0,597.0,329.0,1847.0,8257.0,1588.0,1812.0,1324.0,794.0,3015.0,2306.0,2113.0,193.0,5.767262341,0.295827934,0.273709958,3.259636769,3.032927511,9.347609768,0.0,8678.0,1849.0,6110.0,3969.0,3006.0,802.0,1392.0,329.0,703
13376.0,1462.0,1636.0,1597.0,1597.0,1444.0,1691.0,1866.0,1279.0,804.0,12722.0,13376.0,693.0,2734.0,3658.0,2295.0,1567.0,6830.0,6604.0,226.0,6.621587331,3.727536924,0.671419694,3.05611723,8.705303624,12.59490737,0.0,13479.0,3710.0,10691.0,4467.0,3496.0,850.0,1141.0,351.0,868
15174.0,1627.0,1862.0,1573.0,1562.0,1736.0,2286.0,2371.0,1389.0,768.0,14541.0,15174.0,1568.0,5311.0,3025.0,1111.0,2285.0,6875.0,6514.0,361.0,7.839192495,2.902539232,0.251830327,10.26273487,7.017498697,29.57318818,0.0,15397.0,4297.0,11991.0,6515.0,5000.0,1440.0,1767.0,437.0,1235
36986.0,4438.0,4397.0,4187.0,4094.0,4178.0,5141.0,5037.0,3508.0,2006.0,31269.0,36986.0,4530.0,9368.0,8588.0,3952.0,7239.0,15617.0,14902.0,715.0,19.19720917,4.048288099,0.764256258,17.29035198,14.13495733,47.98923949,13.0,37519.0,10290.0,28897.0,14939.0,10865.0,3202.0,4557.0,1096.0,2983
1628701.0,141841.0,125970.0,300123.0,304006.0,205396.0,192603.0,169722.0,116007.0,73033.0,1050536.0,1628701.0,162237.0,155048.0,171461.0,758325.0,245347.0,919101.0,885351.0,33750.0,1051.035137,741.1668759,13.83489277,1726.861314,540.0608744,4076.126118,761.0,1653877.0,344283.0,1395341.0,406301.0,274882.0,74059.0,121260.0,37665.0,75763
18807.0,2054.0,2068.0,2365.0,2493.0,2357.0,2619.0,2392.0,1510.0,949.0,17429.0,18807.0,1807.0,4132.0,5577.0,2285.0,2052.0,8777.0,8307.0,470.0,7.325842158,3.67842004,0.276029112,14.24575915,8.936257994,31.56474082,0.0,19214.0,4912.0,15066.0,6884.0,5107.0,1351.0,1647.0,475.0,1177
9187.0,1215.0,1247.0,927.0,998.0,952.0,1279.0,1199.0,790.0,580.0,8983.0,9187.0,613.0,2575.0,2186.0,942.0,921.0,5180.0,5049.0,131.0,5.594614316,2.482937571,0.343477882,3.720040112,6.290302568,11.8965602,0.0,9321.0,2496.0,6909.0,3057.0,2487.0,544.0,779.0,226.0,577
