TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Two or more races pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
15596.0,1914.0,1964.0,1661.0,1817.0,1828.0,2226.0,2045.0,1355.0,786.0,15246.0,167.0,15596.0,999.0,4268.0,3786.0,1936.0,1702.0,7775.0,7373.0,402.0,6.075069617,3.050387565,0.228901475,11.81351942,7.410532231,26.17555686,15924.0,4021.0,12056.0,5795.0,3954.0,1149.0,1394.0,396.0,1004
16434.0,1930.0,2164.0,2118.0,1787.0,1879.0,2224.0,1969.0,1486.0,877.0,15845.0,235.0,16434.0,1636.0,4551.0,3393.0,1696.0,2776.0,6858.0,6589.0,269.0,7.115997113,1.139650112,0.479852679,4.902131345,9.188088227,19.8320931,16777.0,4447.0,12820.0,6313.0,4731.0,1388.0,1759.0,461.0,1321
3710.0,353.0,470.0,357.0,338.0,407.0,489.0,599.0,433.0,264.0,3545.0,86.0,3710.0,131.0,993.0,872.0,684.0,364.0,1772.0,1718.0,54.0,1.760172455,1.365530615,0.195574717,1.201387549,2.050042125,4.023251326,3646.0,1290.0,2976.0,1154.0,857.0,217.0,335.0,100.0,253
4081.0,513.0,475.0,425.0,408.0,433.0,540.0,582.0,376.0,329.0,3798.0,48.0,4081.0,243.0,1066.0,1125.0,579.0,447.0,1794.0,1737.0,57.0,2.453721136,1.218806779,0.209398521,1.884586693,3.151716208,4.848381151,4272.0,1309.0,3166.0,1629.0,1263.0,255.0,393.0,114.0,303
18381.0,1539.0,1638.0,3571.0,2151.0,1771.0,2066.0,3175.0,1639.0,831.0,15313.0,329.0,18381.0,935.0,3540.0,4263.0,4030.0,2740.0,9203.0,8984.0,219.0,11.19349143,4.967767007,0.687217476,7.442914695,12.58539801,23.80218494,17945.0,5327.0,15523.0,6140.0,4812.0,1046.0,1610.0,468.0,1146
13824.0,1682.0,1764.0,1649.0,1557.0,1648.0,1913.0,1828.0,1181.0,602.0,10062.0,270.0,13824.0,2091.0,3753.0,2326.0,1505.0,2661.0,6298.0,6041.0,257.0,7.175207365,1.513100489,0.285650747,6.462494612,5.283124698,17.9366043,13866.0,3371.0,10664.0,5616.0,3903.0,1184.0,1745.0,411.0,1050
76493.0,7274.0,9512.0,10334.0,8860.0,8139.0,11223.0,11083.0,6627.0,3441.0,73072.0,1201.0,76493.0,3713.0,16625.0,15407.0,17288.0,7307.0,41020.0,39990.0,1030.0,57.18120428,29.38008622,1.578968166,49.00440485,32.76358944,126.2046698,76109.0,19389.0,62808.0,25593.0,19785.0,5094.0,6566.0,1781.0,4407
80695.0,7967.0,9508.0,12632.0,10014.0,9585.0,11671.0,10099.0,5819.0,3400.0,74249.0,1239.0,80695.0,6658.0,20505.0,15203.0,12588.0,9779.0,36428.0,34831.0,1597.0,52.07418696,36.72157201,0.685458333,84.99,26.75765058,201.9541936,81224.0,17868.0,66204.0,29627.0,23238.0,5794.0,7219.0,1978.0,4930
98682.0,11583.0,11299.0,9789.0,12122.0,11119.0,12421.0,13138.0,10635.0,6449.88,81974.0,2049.0,98682.0,6633.0,15230.0,21771.0,24439.25,10263.0,41079.0,39523.0,1556.0,44.82858521,40.31436474,1.06440567,48.04080947,38.24257513,142.3547547,94191.0,28522.0,77656.0,30214.0,23374.0,6334.0,9369.0,2692.0,6755
38247.0,5275.0,5247.0,5736.0,4855.0,4138.0,4551.0,4001.0,2792.0,1652.0,26298.0,3179.0,38247.0,2811.0,8254.0,6770.0,6961.0,5600.0,18656.0,18082.0,574.0,10.97045152,12.49331702,1.212472537,12.79401021,21.92150347,45.22037575,38289.0,8264.0,28990.0,14207.0,10668.0,2498.0,3445.0,925.0,2424
